ID,U,Y_Z_0,Y_Z_1,R_Z_0,R_Z_1,Z,Z_cond_prob,R,Y
073,-1.239206041799741,3,3,1,0,0,0.5,1,3
074,0.24205012371645776,4,5,1,0,1,0.5,0,NA
075,0.5012620858366091,5,5,1,1,0,0.5,1,5
076,-0.9499366608395543,3,4,0,1,1,0.5,1,4
077,-0.9262108867246125,3,4,1,0,1,0.5,0,NA
078,2.6047686945680546,7,7,1,1,1,0.5,1,7
079,0.7889217410351981,5,5,1,1,1,0.5,1,5
080,-2.0241131274252235,2,2,1,1,1,0.5,1,2
081,-0.4064957962864402,4,4,1,1,0,0.5,1,4
082,-2.0838479677403376,2,2,0,0,0,0.5,0,NA
083,0.46353904807139257,4,5,1,1,0,0.5,1,4
084,-0.7177131952572984,3,4,1,1,1,0.5,1,4
085,0.9141862076027468,5,5,1,1,0,0.5,1,5
086,0.13146466109253113,4,5,1,1,0,0.5,1,4
087,1.975049246664534,6,6,1,1,0,0.5,1,6
088,-2.445914518860922,2,2,1,0,0,0.5,1,2
089,-0.2659199684824714,4,4,1,1,0,0.5,1,4
090,-1.0451333716480193,3,3,0,0,0,0.5,0,NA
091,0.7551575820343599,5,5,1,1,0,0.5,1,5
092,0.46514269477539355,4,5,1,1,1,0.5,1,5
093,1.4253621344530945,5,6,1,1,1,0.5,1,6
094,0.9622328874997295,5,5,1,1,0,0.5,1,5
095,0.288233838886011,4,5,1,1,0,0.5,1,4
096,-0.25098553602657364,4,4,1,1,1,0.5,1,4
097,0.7781084094076844,5,5,1,1,0,0.5,1,5
098,0.3958052890063863,4,5,1,1,1,0.5,1,5
099,-0.5821041842356969,3,4,0,0,0,0.5,0,NA
100,0.07867343093287785,4,5,1,1,1,0.5,1,5
101,-0.1738153714831567,4,4,1,1,0,0.5,1,4
102,0.05141224106120998,4,5,1,1,1,0.5,1,5
103,1.543053568606446,6,6,1,1,1,0.5,1,6
104,1.3456368567221857,5,6,1,1,0,0.5,1,5
105,0.09804813211529666,4,5,1,1,1,0.5,1,5
106,0.09755460933471703,4,5,1,1,1,0.5,1,5
107,0.7444731170020629,5,5,1,1,0,0.5,1,5
108,-1.3198308614037473,3,3,1,0,0,0.5,1,3
109,0.37467511474623105,4,5,1,1,0,0.5,1,4
110,-0.8592899681427177,3,4,1,1,1,0.5,1,4
111,0.8785809125223778,5,5,1,1,1,0.5,1,5
112,-0.8084555736509813,3,4,1,1,1,0.5,1,4
113,1.595270772861584,6,6,1,1,1,0.5,1,6
114,0.8316339873862381,5,5,1,1,1,0.5,1,5
115,1.5094081368822871,6,6,1,1,1,0.5,1,6
116,-3.0038270835377165,1,1,0,0,0,0.5,0,NA
117,-0.02218214784271871,4,4,1,1,1,0.5,1,4
118,-0.7760869492232042,3,4,1,1,1,0.5,1,4
119,0.41470107249277416,4,5,1,0,1,0.5,0,NA
120,1.4657354034245287,5,6,1,1,1,0.5,1,6
121,1.2641262158567255,5,6,1,1,1,0.5,1,6
122,-1.3136038960561633,3,3,1,1,0,0.5,1,3
123,1.6588391928408768,6,6,1,1,1,0.5,1,6
124,1.0519707159774514,5,6,1,1,0,0.5,1,5
125,-0.8026778475342221,3,4,1,1,0,0.5,1,3
126,-1.4804154358580177,3,3,1,0,1,0.5,0,NA
127,-1.8306203037852522,2,3,1,1,0,0.5,1,2
128,0.7044312337746255,5,5,1,1,0,0.5,1,5
129,-1.9530785494890706,2,3,1,1,1,0.5,1,3
130,1.1231479972179876,5,6,1,1,1,0.5,1,6
131,-1.2794354951054796,3,3,1,0,0,0.5,1,3
132,0.33470974317168795,4,5,1,1,0,0.5,1,4
133,-0.19443135168241296,4,4,1,1,0,0.5,1,4
134,0.16534894827533017,4,5,1,1,0,0.5,1,4
135,-0.9283865268076049,3,4,1,1,1,0.5,1,4
136,0.09353826702950764,4,5,1,1,0,0.5,1,4
137,0.7931340147413471,5,5,1,1,0,0.5,1,5
138,1.3280704350938586,5,6,1,1,1,0.5,1,6
139,-0.4414466045875148,4,4,1,0,1,0.5,0,NA
140,-0.8244911627436441,3,4,1,1,1,0.5,1,4
141,1.3170959024388138,5,6,1,1,0,0.5,1,5
142,0.5949505723839751,5,5,1,1,0,0.5,1,5
143,0.31928079761820044,4,5,1,1,0,0.5,1,4
144,-0.4079056082095753,4,4,1,1,1,0.5,1,4
145,-1.0108456600239955,3,3,1,0,1,0.5,0,NA
146,-1.370107465253382,3,3,1,1,0,0.5,1,3
147,-0.19779925336277465,4,4,1,1,1,0.5,1,4
148,2.212087724101616,6,7,1,1,0,0.5,1,6
149,-0.21404697647493334,4,4,1,1,1,0.5,1,4
150,-1.8754210887169849,2,3,1,1,1,0.5,1,3
151,0.5201893681454292,5,5,1,1,0,0.5,1,5
152,-0.6083170102380261,3,4,1,1,0,0.5,1,3
153,1.0115427626311861,5,6,1,1,0,0.5,1,5
154,0.22798912540370384,4,5,1,1,0,0.5,1,4
155,-1.0394025022326716,3,3,0,1,1,0.5,1,3
156,-0.2854730382044557,4,4,1,1,0,0.5,1,4
157,-2.3086310162720816,2,2,0,1,0,0.5,0,NA
158,1.3664761186064731,5,6,1,1,1,0.5,1,6
159,-0.14794948849565634,4,4,0,1,0,0.5,0,NA
160,0.9873644832306688,5,5,1,1,0,0.5,1,5
161,0.0764090544588586,4,5,1,1,0,0.5,1,4
162,-0.2237393705251411,4,4,1,1,1,0.5,1,4
163,-0.8836434824551599,3,4,1,0,0,0.5,1,3
164,-1.3269298131217762,3,3,1,1,1,0.5,1,3
165,1.74031059043217,6,6,1,1,0,0.5,1,6
166,-0.2302974895234943,4,4,1,1,0,0.5,1,4
167,0.027225374258753064,4,5,1,1,0,0.5,1,4
168,2.282660985977703,6,7,1,1,0,0.5,1,6
169,0.9033707456755848,5,5,1,1,0,0.5,1,5
170,-0.15319447419605098,4,4,1,1,1,0.5,1,4
171,0.45343301081956894,4,5,1,1,0,0.5,1,4
172,0.8925760121065672,5,5,1,1,0,0.5,1,5
173,-0.10716505850795953,4,4,1,1,0,0.5,1,4
174,-1.721446652564403,2,3,0,1,0,0.5,0,NA
175,0.09842421695244177,4,5,1,1,1,0.5,1,5
176,0.557949954553741,5,5,1,1,0,0.5,1,5
177,-0.9218670462602638,3,4,1,1,0,0.5,1,3
178,-0.21545195449305649,4,4,1,1,1,0.5,1,4
179,0.4002346286425403,4,5,1,1,0,0.5,1,4
180,-2.543324745360447,1,2,0,0,0,0.5,0,NA
181,-0.677084078168709,3,4,1,1,0,0.5,1,3
182,1.8090236707658902,6,6,1,1,1,0.5,1,6
183,-0.1833989017901507,4,4,1,1,1,0.5,1,4
184,-0.8418605216775953,3,4,1,1,1,0.5,1,4
185,0.6096730178434221,5,5,1,1,0,0.5,1,5
186,-0.9457935154839228,3,4,1,1,1,0.5,1,4
187,-0.6929513878300471,3,4,1,1,0,0.5,1,3
188,-1.055043057466612,3,3,1,1,1,0.5,1,3
189,-0.6341216238300168,3,4,1,1,0,0.5,1,3
190,5.185904287376699e-4,4,5,1,1,1,0.5,1,5
191,1.3447386243534225,5,6,1,1,1,0.5,1,6
192,1.5818450427085053,6,6,1,1,1,0.5,1,6
193,1.0044218369969469,5,6,1,1,1,0.5,1,6
194,0.17728035490921237,4,5,1,1,1,0.5,1,5
195,0.659659452490045,5,5,1,1,1,0.5,1,5
196,-0.8054347218412209,3,4,1,1,1,0.5,1,4
197,-0.17106683530598665,4,4,1,1,0,0.5,1,4
198,0.5003412816282202,5,5,1,1,1,0.5,1,5
199,-0.9817021521442882,3,4,1,0,0,0.5,1,3
200,-0.005464142182574793,4,4,1,1,1,0.5,1,4
